Rank,Artist Name,WF Score,Country,Type,Genre Tags,Primary Language,English Ratio,Last.fm Listeners,Last.fm Plays,Size Category,Estimated Tracks,Albums,EPs,Singles,Latest Release Date,Active Since,Score: Popularity,Score: English,Score: Tracks,Score: Active,Score: Genre,Score: Country,MusicBrainz ID,Last.fm URL,Status
98,Juhani Aaltonen,83,Finland,Person,"free jazz, jazz",eng,61%,1417,10922,small,250,25,0,0,2026-02-20,1935,15,15,15,15,15,8,067130a6-8986-47cd-ac6b-80dd37da78b8,https://www.last.fm/music/Juhani+Aaltonen,
99,Kêres,83,Finland,Group,black metal,fin,50%,2261,97578,small,240,23,2,0,2025-12-14,,15,15,15,15,15,8,253a657e-d9d5-4972-a0bc-66a813878b57,https://www.last.fm/music/K%C3%AAres,
100,Yoens,83,Finland,Person,"chillwave, synthwave, chillsynth",eng,100%,5530,24575,wf_sweet_spot,10,1,0,0,2026-03-18,,25,20,12,15,3,8,e16597ab-4066-4ebf-9bfd-8c38937cda5c,https://www.last.fm/music/Yoens,
101,Kuolemanlaakso,82,Finland,Group,doom metal,fin,39%,9412,307508,wf_sweet_spot,54,4,2,4,2022-12-16,2010,25,15,15,4,15,8,0545757a-aa96-4237-afad-95424d212a0a,https://www.last.fm/music/Kuolemanlaakso,
102,Onségen Ensemble,82,Finland,Group,"post-rock, progressive rock, experimental, space rock",eng,60%,10237,78996,wf_sweet_spot,46,4,1,1,2022-11-10,2005,25,15,15,4,15,8,30cc96e5-1c85-4906-8b17-03239391d41e,https://www.last.fm/music/Ons%C3%A9gen+Ensemble,
103,Tree Climber,82,Finland,Person,"lo-fi hip hop, instrumental hip hop, downtempo, instrumental, boom bap, hip hop, chillwave, lo-fi",eng,100%,1356,7849,small,54,1,5,19,2024-05-06,,15,20,15,12,12,8,f732026a-8746-4422-81e6-b62da643db4f,https://www.last.fm/music/Tree+Climber,
104,Aikakone,81,Finland,Group,"eurodance, pop, electronic, finnish, techno",fin,22%,42219,608324,wf_sweet_spot,109,9,1,14,2023-06-16,1995,25,10,15,8,15,8,1c9a8777-e808-4ea3-a9a3-0358b454cf7b,https://www.last.fm/music/Aikakone,
105,Astral Magic,81,Finland,Group,"experimental, psychedelic rock, space rock, electronic",eng,96%,1192,99423,small,250,25,0,0,2023-03-03,,15,20,15,8,15,8,b6d4b656-8ac3-411a-8c0e-492c1fe21f69,https://www.last.fm/music/Astral+Magic,
106,Axel Thesleff,81,Finland,Person,electronic,eng,92%,122077,1103680,big,121,8,6,11,2025-03-21,1991,8,20,15,15,15,8,8b05b805-7376-47f2-acc4-05564502a888,https://www.last.fm/music/Axel+Thesleff,
107,Azaghal,81,Finland,Group,"satanism, hatred, anti-christianity, terror, war, black metal",fin,12%,43674,1361472,wf_sweet_spot,250,25,0,0,2023-02-24,1995,25,10,15,8,15,8,499d753e-aea0-417b-a9be-e77747999aae,https://www.last.fm/music/Azaghal,
